epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,1846.7,1.73232,1.74861,1.11277,0.31977,0.11482,0.0925,0.05508,1.6117,1.68526,1.09569,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1887.39,1.75234,1.74214,1.11327,0.31366,0.11022,0.09073,0.0531,1.61404,1.67664,1.09399,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1927.64,1.73571,1.73595,1.11079,0.28657,0.12304,0.09308,0.05569,1.60229,1.66391,1.09073,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1967.83,1.74452,1.71866,1.10622,0.29306,0.11591,0.09519,0.05709,1.60111,1.65853,1.09331,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2006.53,1.72547,1.70096,1.10218,0.26833,0.12096,0.09296,0.05646,1.60317,1.66186,1.09319,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2045.47,1.71955,1.70237,1.10597,0.32202,0.12064,0.0971,0.05858,1.59863,1.65848,1.09165,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2084.24,1.72635,1.68323,1.10607,0.30093,0.1259,0.09385,0.05568,1.59498,1.63742,1.09402,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2123,1.70746,1.67777,1.10346,0.26783,0.12331,0.09343,0.05661,1.5994,1.65747,1.08642,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2161.61,1.71081,1.66948,1.10286,0.30353,0.12109,0.09738,0.05892,1.59629,1.65247,1.08936,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2200.1,1.71442,1.66693,1.10319,0.30428,0.12838,0.09726,0.05924,1.58833,1.63781,1.0883,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2238.66,1.70762,1.66821,1.09796,0.24501,0.13231,0.09434,0.05717,1.59028,1.64191,1.09006,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2277.02,1.70439,1.65372,1.10022,0.29265,0.12363,0.09556,0.05777,1.59324,1.64406,1.0887,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2315.64,1.71003,1.65493,1.09846,0.31853,0.13783,0.10033,0.06079,1.58876,1.6526,1.08829,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2354.28,1.70215,1.63801,1.09615,0.28026,0.14339,0.10613,0.06445,1.58269,1.62481,1.08657,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2392.89,1.69896,1.62706,1.09315,0.274,0.13095,0.09402,0.05637,1.58524,1.64816,1.08352,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2431.38,1.70183,1.63646,1.09864,0.27501,0.13128,0.09725,0.05863,1.57779,1.64283,1.08072,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2469.99,1.68975,1.60604,1.09446,0.29748,0.13066,0.0989,0.05967,1.58168,1.62443,1.08337,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2508.58,1.68476,1.61661,1.09659,0.29384,0.13792,0.09763,0.05949,1.57696,1.63108,1.08329,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2547.13,1.69602,1.61128,1.09558,0.31007,0.12773,0.09509,0.05737,1.57836,1.64527,1.0819,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2585.45,1.69089,1.60033,1.09088,0.28597,0.13638,0.1002,0.06074,1.57085,1.62668,1.08084,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2623.85,1.67446,1.59174,1.08782,0.21788,0.1312,0.10207,0.06216,1.574,1.62816,1.0793,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2662.31,1.66558,1.63068,1.09129,0.26965,0.12752,0.09889,0.06037,1.57071,1.6351,1.07943,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2700.85,1.66932,1.56189,1.08358,0.26132,0.13255,0.09925,0.06029,1.569,1.6234,1.08078,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2739.39,1.68688,1.57898,1.09324,0.29558,0.12477,0.0973,0.0586,1.57173,1.62826,1.08044,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2777.69,1.66563,1.54613,1.08563,0.2621,0.13231,0.101,0.06206,1.5702,1.6145,1.08054,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2816.5,1.68274,1.55324,1.08771,0.22735,0.1373,0.10068,0.06157,1.56924,1.61128,1.07749,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2854.91,1.6617,1.54815,1.08305,0.29126,0.12473,0.10446,0.06384,1.56131,1.61854,1.07626,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2893.68,1.65836,1.52659,1.08407,0.23798,0.1293,0.09987,0.0606,1.56234,1.61144,1.07759,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2932.17,1.67587,1.54627,1.08503,0.26654,0.1303,0.09738,0.05843,1.56482,1.60961,1.07758,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2971.06,1.66333,1.5295,1.0805,0.24488,0.13161,0.09814,0.05971,1.56469,1.61177,1.07637,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3009.56,1.65694,1.52184,1.08196,0.30544,0.12027,0.09998,0.06101,1.5651,1.61537,1.07702,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3048.15,1.66279,1.52925,1.0853,0.26518,0.1281,0.09824,0.05902,1.56392,1.61642,1.07746,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3086.75,1.67197,1.52286,1.08669,0.28198,0.1321,0.09986,0.06048,1.56257,1.61805,1.0769,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3125.23,1.67435,1.51354,1.08436,0.27551,0.13163,0.10029,0.06062,1.56024,1.61542,1.0746,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
